epoch,train_loss,train_l2_loss,train_excange_proc,val_loss,val_l2_loss,val_excange_proc,test_loss,test_l2_loss,test_excange_proc,train_acc,val_acc,test_acc,diff,train_proc,eval_proc,comm_proc,timestamp,sleep_proc
27,1.7235045421123505,14884.9736328125,19.651653999999997,1.6363566219806671,14884.447265625,0.0,1.6383145594596862,14884.447265625,0.0,0.4408,0.40714,0.4033,7.542818138972507e-07,24.689455,11.675262,15.702710628509521,2022-11-02 16:46:06.286045,0.0
28,1.7045352363586426,14869.599609375,18.156429,1.5557400734424591,14869.3642578125,0.0,1.5572694289684295,14869.3642578125,0.0,0.4376,0.43718,0.4371,6.614469043597637e-07,22.746915,11.684945,14.440537929534912,2022-11-02 16:46:42.132956,0.0
29,1.7036816322803496,14846.03125,20.187908999999998,1.543899530172348,14845.2177734375,0.0,1.5499221587181091,14845.2177734375,0.0,0.4213,0.44168,0.4395,6.283976290433202e-07,24.974439,11.987648,16.2483172416687,2022-11-02 16:47:21.009133,0.0
30,1.7008946335315704,14820.6435546875,17.376892,1.7385552470684051,14820.298828125,0.0,1.7406878089904785,14820.298828125,0.0,0.4353,0.37728,0.3738,7.754367175039079e-07,22.134336,11.681737,13.540553331375122,2022-11-02 16:47:57.475810,0.0
31,1.7271130108833312,14347.900390625,19.317025000000005,1.629220385313034,14455.0966796875,0.0,1.63773624420166,14455.0966796875,0.0,0.458,0.402,0.3994,0.0053986371494829655,23.72026,11.884343,15.505374670028687,2022-11-02 16:48:34.654978,0.0
32,1.6159405958652497,12095.57421875,16.602242999999994,1.5736281385421753,12086.1015625,0.0,1.5820423650741577,12086.1015625,0.0,0.4619,0.41532,0.4137,0.00015515912673436105,21.423403,11.69479,12.79582405090332,2022-11-02 16:49:09.873404,0.0
33,1.6311478948593139,11975.970703125,18.604903,1.6415636591911316,11973.2646484375,0.0,1.6428462755680084,11973.2646484375,0.0,0.4512,0.38474,0.3842,3.258996730437502e-05,23.334274,12.060464,14.860088586807251,2022-11-02 16:49:46.887853,0.0
34,1.6141786217689513,11723.2255859375,22.155448999999997,1.5018242359161378,11724.5302734375,0.0,1.5095622503757478,11724.5302734375,0.0,0.446,0.45366,0.4504,1.8174777096646721e-06,27.313722,11.663376,18.100975036621094,2022-11-02 16:50:27.155161,0.0
35,1.6011227357387543,11676.982421875,15.951224000000002,1.607544050693512,11676.9755859375,0.0,1.6071718442440033,11676.9755859375,0.0,0.4356,0.41784,0.4162,8.411042813349923e-07,20.772453,11.523902,12.205810546875,2022-11-02 16:51:00.646692,0.0
36,1.620389143228531,11655.8505859375,17.261833999999993,1.4605683937072753,11655.68359375,0.0,1.4716824090480805,11655.68359375,0.0,0.4716,0.46954,0.4581,6.758098720638372e-07,22.108472,12.016049,13.324273109436035,2022-11-02 16:51:36.273450,0.0
37,1.5515008330345155,11632.0009765625,16.035074,1.5125336337089539,11632.0791015625,0.0,1.516244591474533,11632.0791015625,0.0,0.4841,0.44978,0.444,6.483243737420707e-07,20.760876,11.610526,12.263853788375854,2022-11-02 16:52:09.851559,0.0
38,1.552538458108902,11631.80078125,18.483731000000002,1.4772573552131654,11631.794921875,0.0,1.4772860133647918,11631.794921875,0.0,0.4728,0.46526,0.4623,6.31213481483428e-07,23.006838,11.889631,14.761329650878906,2022-11-02 16:52:46.233019,0.0
39,1.5438404607772827,11600.5634765625,18.652658,1.4656518244743346,11600.3134765625,0.0,1.4744442594051361,11600.3134765625,0.0,0.489,0.46618,0.4595,6.45171553514956e-07,23.827603,11.669236,14.556426525115967,2022-11-02 16:53:22.880283,0.0
40,1.5680047190189361,11584.568359375,18.478391,1.5519155948162078,11584.5810546875,0.0,1.5561965608596802,11584.5810546875,0.0,0.4665,0.42108,0.423,1.095542302209651e-06,23.027328,11.595134,14.788009643554688,2022-11-02 16:53:58.581010,0.0
41,1.5721258592605591,11556.197265625,20.721638999999996,1.4838893282413483,11555.7744140625,0.0,1.499043917655945,11555.7744140625,0.0,0.5148,0.46232,0.4534,6.368159120029304e-07,25.589893,11.819084,16.76756453514099,2022-11-02 16:54:37.395297,0.0
42,1.5316298234462737,11528.1669921875,16.493605000000002,1.5475626411437988,11528.2216796875,0.0,1.554411873817444,11528.2216796875,0.0,0.4487,0.4404,0.4404,9.991422302846331e-07,21.302043,11.677394,12.69442081451416,2022-11-02 16:55:11.865380,0.0
43,1.5660749220848083,11525.95703125,18.583328999999996,1.4530189309120178,11525.6103515625,0.0,1.4696241760253905,11525.6103515625,0.0,0.5046,0.47204,0.4644,9.516299996903399e-07,23.451732,11.787273,14.647173881530762,2022-11-02 16:55:48.364536,0.0
44,1.5364564645290375,11489.3623046875,19.211788000000002,1.4608254919052124,11489.416015625,0.0,1.4714236176013946,11489.416015625,0.0,0.503,0.46602,0.4599,6.598414756808779e-07,24.047736,11.624367,15.323872566223145,2022-11-02 16:56:25.110927,0.0
45,1.5170204985141753,11488.244140625,18.819355,1.4794019277095796,11488.240234375,0.0,1.4891677236557006,11488.240234375,0.0,0.5094,0.46548,0.4587,5.793427249045635e-07,23.308297,11.709605,15.102523565292358,2022-11-02 16:57:02.154198,0.0
46,1.5489325058460235,11458.708984375,21.173491,1.3956227600574493,11458.7275390625,0.0,1.405286740064621,11458.7275390625,0.0,0.5079,0.4984,0.4895,5.944182248640573e-07,26.372187,11.629041,17.187085390090942,2022-11-02 16:57:41.460526,0.0
47,1.5327917087078093,11440.16796875,17.057664000000003,1.4076368780136108,11440.19140625,0.0,1.4240870809555053,11440.19140625,0.0,0.5005,0.49146,0.485,8.762579000176629e-07,21.701793,11.640068,13.34708023071289,2022-11-02 16:58:16.336351,0.0
48,1.5235138022899628,11414.787109375,20.764767000000003,1.39389186835289,11414.5380859375,0.0,1.4146033656597137,11414.5380859375,0.0,0.5205,0.49658,0.4887,6.606668421227369e-07,25.773897,11.842691,16.822484731674194,2022-11-02 16:58:55.692751,0.0
49,1.491807404756546,11385.021484375,15.718542999999997,1.4463047454357147,11385.0791015625,0.0,1.4649277567863463,11385.0791015625,0.0,0.4925,0.48488,0.4774,6.847658937658707e-07,20.457531,11.525578,11.965437889099121,2022-11-02 16:59:29.197299,0.0
50,1.4982185399532317,11387.146484375,18.253345999999993,1.3890770556926728,11386.9248046875,0.0,1.4177345180511474,11386.9248046875,0.0,0.4788,0.50106,0.4857,9.270020200347062e-07,22.905734,11.94656,14.385873794555664,2022-11-02 17:00:05.277057,0.0
51,1.484503436088562,11343.83203125,19.996528999999992,1.4071345911026,11343.669921875,0.0,1.4215686011314392,11343.669921875,0.0,0.5021,0.49558,0.4892,4.534033450909192e-07,24.786928,11.520788,16.133383750915527,2022-11-02 17:00:42.950748,0.0
52,1.4807146155834199,11340.15234375,18.871305999999993,1.3908714911937714,11340.150390625,0.0,1.4041599667072295,11340.150390625,0.0,0.5148,0.49778,0.4892,3.619172730395803e-07,23.693649,11.66565,15.145734786987305,2022-11-02 17:01:19.965059,0.0
53,1.5247157609462738,11302.6220703125,19.11781799999999,1.3700074286460877,11302.3349609375,0.0,1.388468383550644,11302.3349609375,0.0,0.5013,0.5081,0.5019,4.451860888821102e-07,23.999275,11.594559,15.196359157562256,2022-11-02 17:01:56.828701,0.0
54,1.4638011682033538,11285.208984375,16.349367999999995,1.324136112689972,11285.189453125,0.0,1.350149451494217,11285.189453125,0.0,0.5098,0.52518,0.5137,5.716809141631529e-07,21.023812,11.451475,12.6170175075531,2022-11-02 17:02:30.604966,0.0
55,1.4740559136867524,11260.984375,19.467488999999997,1.3818073489665985,11260.6494140625,0.0,1.4076373088359833,11260.6494140625,0.0,0.5145,0.50266,0.4911,7.441527145601867e-07,24.332132,11.662162,15.437644481658936,2022-11-02 17:03:07.761091,0.0
56,1.446249122619629,11235.873046875,17.263057000000003,1.4141607565879821,11235.8310546875,0.0,1.4350877213478088,11235.8310546875,0.0,0.5141,0.49978,0.4942,8.921426228880591e-07,21.973435,11.484368,13.466609239578247,2022-11-02 17:03:42.637114,0.0
57,1.4747846496105195,11234.6591796875,18.123883000000014,1.4133497211933137,11234.6591796875,0.0,1.4312859642505646,11234.6591796875,0.0,0.5498,0.48072,0.4775,8.216845230890613e-07,22.905801,11.852283,14.338692665100098,2022-11-02 17:04:18.790145,0.0
