epoch,train_loss,train_l2_loss,train_excange_proc,val_loss,val_l2_loss,val_excange_proc,test_loss,test_l2_loss,test_excange_proc,train_acc,val_acc,test_acc,diff,train_proc,eval_proc,comm_proc,timestamp,sleep_proc
50,1.1095678135752678,13712.552734375,0.29409800000000014,0.9369856294393539,13712.0029296875,0.0,1.0560234051942825,13712.0029296875,0.0,0.669296875,0.6698,0.6365,0.0,7.686041,11.583284,0.0,2022-10-31 19:31:10.261669,0.0
51,1.1056979722343385,13642.5927734375,0.30439799999999995,0.9540145964622497,13642.05078125,0.0,1.0611172258853911,13642.05078125,0.0,0.66640625,0.66576,0.629,0.0,7.752464,11.558732,0.0,2022-10-31 19:31:29.573176,0.0
52,1.0764701566658914,13572.9970703125,0.31430500000000006,1.0231089586019515,13572.4541015625,0.0,1.140421541929245,13572.4541015625,0.0,0.65109375,0.6485,0.6115,0.0,7.736342,11.532138,0.0,2022-10-31 19:31:48.841940,0.0
53,1.0902221356518567,13503.748046875,0.30105799999999977,0.9507312812805175,13503.2109375,0.0,1.0823340946435929,13503.2109375,0.0,0.6646875,0.66564,0.6264,0.0,7.672118,11.569035,0.0,2022-10-31 19:32:08.083351,0.0
54,1.06142288306728,13434.8583984375,0.3046750000000001,0.92409383893013,13434.3193359375,0.0,1.0554569566249847,13434.3193359375,0.0,0.672890625,0.67518,0.6318,0.0,7.71452,11.567557,0.0,2022-10-31 19:32:27.365708,0.0
55,1.0693740653805435,13366.3212890625,0.292131,0.9148212476968766,13365.787109375,0.0,1.052764202952385,13365.787109375,0.0,0.68171875,0.68156,0.6392,0.0,7.600028,11.547902,0.0,2022-10-31 19:32:46.513916,0.0
56,1.041845515370369,13298.1328125,0.3070050000000001,0.9423296979665756,13297.6064453125,0.0,1.0697422212362289,13297.6064453125,0.0,0.6653125,0.66664,0.6305,0.0,7.666661,11.558983,0.0,2022-10-31 19:33:05.739842,0.0
57,1.034880285616964,13230.30078125,0.293228,0.9468708523511886,13229.76953125,0.0,1.0886291801929473,13229.76953125,0.0,0.671484375,0.66832,0.6255,0.0,7.702964,11.571535,0.0,2022-10-31 19:33:25.014614,0.0
58,1.055450591724366,13162.8037109375,0.3204979999999999,0.9249782546758651,13162.27734375,0.0,1.0636633431911469,13162.27734375,0.0,0.680859375,0.67622,0.6352,0.0,7.604031,11.583432,0.0,2022-10-31 19:33:44.202372,0.0
59,1.0268127960152924,13095.6572265625,0.308754,0.9196173902750016,13095.134765625,0.0,1.0750833535194397,13095.134765625,0.0,0.681484375,0.6777,0.631,0.0,7.587822,11.527754,0.0,2022-10-31 19:34:03.318222,0.0
60,1.0317604127340019,13028.85546875,0.3021829999999999,0.9221169154644012,13028.333984375,0.0,1.0801581472158432,13028.333984375,0.0,0.68609375,0.68286,0.6356,0.0,7.751976,11.593419,0.0,2022-10-31 19:34:22.663902,0.0
61,1.0171698206104338,12962.3974609375,0.2978349999999999,0.9649561895132065,12961.884765625,0.0,1.1198205053806305,12961.884765625,0.0,0.663515625,0.67262,0.6262,0.0,7.586439,11.593006,0.0,2022-10-31 19:34:41.843632,0.0
62,1.016324837692082,12896.2822265625,0.38642899999999997,0.8619916554689407,12895.7666015625,0.0,1.0248787194490432,12895.7666015625,0.0,0.701953125,0.70288,0.6513,0.0,6.899014,11.578125,0.0,2022-10-31 19:35:00.321085,0.0
63,1.0223191799595952,12830.4921875,0.2945779999999998,0.8808899153470993,12829.9775390625,0.0,1.0526532101631165,12829.9775390625,0.0,0.688828125,0.69046,0.64,0.0,7.618727,11.566156,0.0,2022-10-31 19:35:19.506288,0.0
64,1.0069859642535448,12765.0498046875,0.29686599999999985,0.8498867740631103,12764.5439453125,0.0,1.0090249186754228,12764.5439453125,0.0,0.70515625,0.7055,0.6573,0.0,7.760981,11.57475,0.0,2022-10-31 19:35:38.842323,0.0
65,0.9988071909174323,12699.9423828125,0.291048,0.8899262152910232,12699.43359375,0.0,1.0688754796981812,12699.43359375,0.0,0.68890625,0.69074,0.6453,0.0,7.708315,11.556805,0.0,2022-10-31 19:35:58.107732,0.0
66,0.9665589299984276,12635.1689453125,0.313205,0.8465269110202789,12634.6611328125,0.0,1.026273131966591,12634.6611328125,0.0,0.708984375,0.70652,0.6532,0.0,7.584668,11.570093,0.0,2022-10-31 19:36:17.262766,0.0
67,0.9590804339386523,12570.724609375,0.306726,0.8199501947164536,12570.2177734375,0.0,1.0089526838064193,12570.2177734375,0.0,0.715546875,0.71668,0.6608,0.0,7.653808,11.57627,0.0,2022-10-31 19:36:36.493137,0.0
68,0.9531225729733706,12506.611328125,0.3028930000000001,0.8924109057188034,12506.10546875,0.0,1.0714382416009902,12506.10546875,0.0,0.681484375,0.69254,0.6436,0.0,7.603293,11.572193,0.0,2022-10-31 19:36:55.668894,0.0
69,0.9535947609692812,12442.8203125,0.6499379999999999,0.8278941322565079,12442.318359375,0.0,1.0149830853939057,12442.318359375,0.0,0.708125,0.7107,0.6572,0.0,6.134282,11.583887,0.0,2022-10-31 19:37:13.387323,0.0
70,0.9367775577120483,12379.3544921875,0.687363,0.8058132354021073,12378.8642578125,0.0,0.9912798005342484,12378.8642578125,0.0,0.7171875,0.7186,0.6653,0.0,5.967627,11.575063,0.0,2022-10-31 19:37:30.930271,0.0
71,0.9509277665056288,12316.224609375,0.6871929999999999,0.8673827340602874,12315.7265625,0.0,1.0384591186046601,12315.7265625,0.0,0.7046875,0.6991,0.6472,0.0,5.963532,11.578177,0.0,2022-10-31 19:37:48.472256,0.0
72,0.9429158521816134,12253.41015625,0.36795899999999987,0.7927984338998795,12252.9228515625,0.0,0.9883091622591018,12252.9228515625,0.0,0.72484375,0.72604,0.6667,0.0,7.326905,11.57106,0.0,2022-10-31 19:38:07.370508,0.0
